"institution","collection","recordsets","recordsetQuery","institution_code","collection_code","collection_uuid","collection_lsid","collection_url","collection_catalog_url","description","descriptionForSpecialists","cataloguedSpecimens","knownToContainTypes","taxonCoverage","geographic_range","collectionExtent","contact","contact_role","contact_email","mailing_address","mailing_city","mailing_state","mailing_zip","physical_address","physical_city","physical_state","physical_zip","UniqueNameUUID","attributionLogoURL","providerManagedID","derivedFrom","sameAs","flags","portalDisplay","lat","lon"
"Herbarium Amanitarum Rooseveltensis","Herbarium","","","RET","","urn:uuid:8af1a2ce-7fd8-417b-9833-113d7fdc1fec","","http://www.amanitaceae.org/","","The fungal component of the herbarium (RET) will be donated to NY when the owner/curator retires or dies. The focus of the herbarium is largely on the Amanitaceae, with few exceptions. Incorporated Amanita collections of KIRI (by Dr. Roger Goos) (55 specimens) in 1995","",NA,NA,"Amanitaceae","","9000","Rodham E. Tulloss","Curator","retamanita@comcast.net","PO Box 57","Roosevelt","New Jersey","08555-0057","PO Box 57","Roosevelt","New Jersey","08555-0057","","","","","","","",40.2214,-74.4747
"Humboldt State University, Vertebrate Museum","Herpetology, Ornithology, Mammalogy","c4f0b43b-1a43-43bc-b302-2aecd37d8054, a2f11cb7-2862-4d0d-aefd-47ea67efd8fd, 83fede4d-f1d0-4748-84e5-f24083c7ba3c, e1c453ac-0479-405c-9742-03a511b33e60","{""recordset"":[""c4f0b43b-1a43-43bc-b302-2aecd37d8054"",""a2f11cb7-2862-4d0d-aefd-47ea67efd8fd"",""83fede4d-f1d0-4748-84e5-f24083c7ba3c"",""e1c453ac-0479-405c-9742-03a511b33e60""]}","HSU","","urn:uuid:8afc5073-8d32-4775-b741-c506702c2651","","http://www.humboldt.edu/vmuseum/","","Strengths in amphibians, reptiles, and mammals of the northern California area, marine mammals, and mammals of the Great Basin. Worldwide","",NA,NA,"Strengths in amphibians, reptiles, and mammals of the northern California area, marine mammals, and mammals of the Great Basin.","Worldwide","","John Reiss","Curator","jor1@humboldt.edu","Humboldt State University, 1 Harpst Street","Arcata","California","95521","Humboldt State University, 1 Harpst Street","Arcata","California","95521","urn:uuid:2ee53f73-8124-4972-ad90-5ac18c483e93","","","","","","",40.8741,-124.0796
"Botanical Research Center","Herbarium","","","BRCH<IH>","","urn:uuid:8b165435-b47a-45a3-92fd-513e84a2f3b2","urn:lsid:biocol.org:col:12686","","","","",NA,NA,"","","","Stanley D. Jones","Director","sdjones@alpha1.net","P.O. Box 6717","Bryan","Texas","77805-6717","2771 F&B Road, Building 18, College Station, Texas 77845.","Bryan","Texas","77805-6717","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124085","","",30.3427,-96.5303
"Stamford Museum and Nature Center","Ichthyology","","","","","urn:uuid:8b2ed6c2-1054-494c-b5a0-5853efb01640","","","","Fish mounts, skeletons","",NA,NA,"","","8","Kirsten R. Brophy ","","kbrophy@stamfordmuseum.org","39 Scofieldtown Road","Stamford","Connecticut","06903-0000","39 Scofieldtown Road","Stamford","Connecticut","06903-0000","","","","","","","",41.1238,-73.5473
"University of Alaska Anchorage","Herbarium","3c367a2d-eec0-4ef1-b3bc-4cbebb320c5a","{""recordset"":""3c367a2d-eec0-4ef1-b3bc-4cbebb320c5a""}","UAAH","","urn:uuid:8b30b100-c0be-4656-b747-cd6e97c7ad69","urn:lsid:biocol.org:col:14969","","","Alaska and neighboring Canadian territories. Approximately 97% of the specimens originate from Alaska, with the remaining specimens originating from Yukon, Washington, and Oregon. Regional emphases include otherwise poorly known areas such as Bering Sea Islands, Bering Glacier area of south-central Alaska, and remote regions of southwestern and northwestern Alaska.","",11000,NA,"","Alaska and neighboring Canadian territories. Approximately 97% of the specimens originate from Alaska, with the remaining specimens originating from Yukon, Washington, and Oregon. Regional emphases include otherwise poorly known areas such as Bering Sea Islands, Bering Glacier area of south-central Alaska, and remote regions of southwestern and northwestern Alaska.","11,000","Matthew Carlson","Curator","mlcarlson@alaska.edu","Alaska Center for Conservation Science, 3211 Providence Drive","Anchorage","Alaska","99508-8104","2400 W Campus Dr","Anchorage","Alaska","99508-8104","","","","","","","",61.2014,-149.8175
"Norwich University","Herbarium","","","NUV<IH>","","urn:uuid:8b3590e1-788d-4d6f-ab39-cc9eaeb3e85b","urn:lsid:biocol.org:col:13779","","","The collection includes only vascular plants. The collection has mostly plants from the eastern US from Maine to Wisconsin to Texas to Florida, the but primary collection is central Vermont and New England.","",13827,NA,"The collection includes only vascular plants.","The collection has mostly plants from the eastern US from Maine to Wisconsin to Texas to Florida, the but primary collection is central Vermont and New England.","13827","Lauren D. Howard","Director","howard@norwich.edu","Biology Department","Northfield","Vermont","05663-0000","Tompkins Hall","Northfield","Vermont","05663-0000","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125572","","",44.0894,-72.7489
"Michigan State University Museum","Mammalogy","9dce915b-3de4-4a7d-a68d-e4c4c15809ce","{""recordset"":[""9dce915b-3de4-4a7d-a68d-e4c4c15809ce""],""collectioncode"":[""MR""]}","MSU","MR","urn:uuid:8bdc281d-6b6e-492d-a7aa-4295a5e68ea2","http://grbio.org/cool/qxfg-723q","http://www.museum.msu.edu/?q=natural","","","",NA,NA,"","","","Laura Abraczinskas","Collections Manager","abraczi1@msu.edu","Michigan State University Museum, Division of Natural Sciences, West Circle Drive","East Lansing","Michigan","48824-1045","Michigan State University Museum, Division of Natural Sciences, West Circle Drive","East Lansing","Michigan","48824-1045","urn:uuid:d0e33f75-e7b5-46e2-a80b-3d087fd452d9","","","","","","",42.733,-84.4872
"Nevada State Department of Agriculture","Entomology","","","NDA","","urn:uuid:8be85b7a-6490-416e-8697-a7ce0fbfd575","","http://agri.nv.gov/Plant/Entomology/Entomology_Home/","","","",NA,NA,"","","","Jeff Knight","","jknight@agri.nv.gov","401 South 21st Street","Sparks","Nevada","89431","401 South 21st Street","Sparks","Nevada","89431","","","","","","","",39.5312,-119.7747
"Oklahoma City University","Herbarium","","","OCU<IH>","","urn:uuid:8c4f01cf-7897-4ea4-9fe3-6690a6b4ba29","","","","","",NA,NA,"","","","Adam Ryburn","Curator","aryburn@okcu.edu","2501 North Blackwelder","Oklahoma City","Oklahoma","73106","Dawson-Loeffler Sciece Building<br />2501 North Blackwelder","Oklahoma City","Oklahoma","73106","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=158600","","",35.4665,-97.539
"University of Illinois, Illinois Natural History Survey","Mammals","da4681c3-64ba-4c99-8575-6cf0b2e55468","{""recordset"":""da4681c3-64ba-4c99-8575-6cf0b2e55468""}","INHS","","urn:uuid:8c8c2b78-64ca-4e04-a206-2503ebee3f4d","","http://wwx.inhs.illinois.edu/collections/mammals","","","",NA,NA,"","","","Joseph F Merritt","Curator","jmerritt@illinois.edu","1816 South Oak Street, MC 652","Champaign","Illinois","61820","1816 South Oak Street, MC 652","Champaign","Illinois","61820","urn:uuid:d0689818-af23-4395-8251-82df8f68b028","","","","","","",40.132,-88.2332
"Auburn University Museum of Natural History, Entomological Museum","Entomology","","","AUEM","","urn:uuid:8c8e4079-73da-4e87-bcd8-62d164850151","http://grbio.org/cool/s40t-q0rd","http://aumnh.org/research-collections/entomology/","","","",NA,NA,"","","","Charles Ray","Curator","raychah@auburn.edu","","Decatur","Alabama","35600","","Decatur","Alabama","35600","","","","","","","",34.608,-87.0111
"Cape Cod Museum of Natural History","Paleontology/ Paleobiology","","","","","urn:uuid:8c9d3e44-4c1b-4359-839d-0f37e89ff393","","","","","",NA,NA,"","","","Kate Roderick ","","kroderick@ccmnh.org","869 Main Street/Route 6A","Brewster","Massachusetts","02631-0000","869 Main Street/Route 6A","Brewster","Massachusetts","02631-0000","","","","","","","",41.7538,-70.1184
"Pennsylvania State University","Herbarium","","","PAC<IH>","","urn:uuid:8c9dff68-91b6-462b-98aa-4d3fe6e5051c","urn:lsid:biocol.org:col:13849","","","","",NA,NA,"","","","Alfred Traverse","Curator","atraverse@comcast.net","Biology Department, 208 Mueller Laboratory","University Park","Pennsylvania","16802","13 Whitmore Laboratory (main herbarium) 316 Mueller (bryophytes)","University Park","Pennsylvania","16802","urn:uuid:24de0255-6390-43f2-ad52-7e6fecf0a9ae","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125669","","",40.8448,-77.6808
"Central Wyoming College","Herbarium","","","CWC<IH>","","urn:uuid:8d1ed8ce-0fc1-443c-b2ca-2da5da5eb438","urn:lsid:biocol.org:col:15029","http://fcwp.org/Herbarium_files/Herbarium.htm","","","",NA,NA,"","","","","","","1446 Cowboy Lane.","Riverton","Wyoming","82501","1446 Cowboy Lane.","Riverton","Wyoming","82501","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124219","","",43.0464,-108.4287
"Cape Cod Museum of Natural History","Ichthyology","","","","","urn:uuid:8d916dc2-9802-4a18-9947-7ea497cec27c","","","","","",NA,NA,"","","","Kate Roderick ","","kroderick@ccmnh.org","869 Main Street/Route 6A","Brewster","Massachusetts","02631-0000","869 Main Street/Route 6A","Brewster","Massachusetts","02631-0000","","","","","","","",41.7538,-70.1184
"University of Texas at El Paso Biodiversity Collections","Fossils","b7a79601-c07b-46d5-bd09-d4472b0d9431","{""recordset"":""b7a79601-c07b-46d5-bd09-d4472b0d9431""}","UTEP","Earth Science","urn:uuid:8d929577-4a06-4830-bc4f-053edbe3cdb9","http://grbio.org/cool/hhpv-heav","http://museum.utep.edu/","http://arctos.database.museum/home.cfm#UTEP","","",NA,FALSE,"","","","Teresa Mayfield","Collection Manager","tmayfield@utep.edu","500 West University Avenue, Biology B222","El Paso","Texas","79968","500 West University Avenue, Biology B222","El Paso","Texas","79968","urn:uuid:b6552df9-f46a-4384-a956-d6b0c7e86b54","","","","","","",31.77,-106.5054
"Georgia Southwestern State University","Herbarium","341611f4-8b65-4655-b244-9be91a1109cd","{""recordset"":""341611f4-8b65-4655-b244-9be91a1109cd""}","GSW<IH>","","urn:uuid:8da5d5b5-1fec-415f-aad6-5e275bc8609d","urn:lsid:biocol.org:col:13118","","","","",NA,NA,"","","","Stephanie Harvey","","sharvey@gsw.edu","Biology Department, 800 Wheatley Street","Americus","Georgia","31790-4693","Roney Building.","Americus","Georgia","31790-4693","urn:uuid:4b559824-c576-4839-9c22-90a0b6740a56","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124621","","",31.8767,-84.4043
"University of Florida, Florida Museum of Natural History","Invertebrate Paleontology","1ba0bbad-28a7-4c50-8992-a028f79d1dc5","{""recordset"":""1ba0bbad-28a7-4c50-8992-a028f79d1dc5""}","UF","IP","urn:uuid:8dde6e34-6059-463c-a74e-e3f5f8000065","","http://www.flmnh.ufl.edu/invertpaleo/","http://www.flmnh.ufl.edu/invertpaleo/search.asp","All fossil invertebrate phyla, trace fossils, and micro-fossils. Primarily southeastern USA, Caribbean, Central and South America, and Antarctica (Late Mesozoic and all Cenozoic).","",NA,NA,"All fossil invertebrate phyla, trace fossils, and micro-fossils.","Primarily southeastern USA, Caribbean, Central and South America, and Antarctica (Late Mesozoic and all Cenozoic).","","Roger W. Portell","Collections Director","portell@flmnh.ufl.edu","Division of Invertebrate Paleontology, Florida Museum of Natural History, PO Box 117800","Gainesville","Florida","32611-7800","Division of Invertebrate Paleontology, Florida Museum of Natural History, 1659 Museum Road","Gainesville","Florida","32611","urn:uuid:7d736005-0375-4b30-8724-555fa4ed1b46","","","","","","",29.6449,-82.3446
"Western New Mexico University, Gila Natural History Collections of the Gila Center for Natural History, Dale A. Zimmerman Herbarium","Herbarium","1549b662-ec36-436a-8593-76f7642ec9e4","{""recordset"":""1549b662-ec36-436a-8593-76f7642ec9e4""}","SNM<IH>","","urn:uuid:8e65a87f-4380-4280-80f4-1afcba0f739a","urn:lsid:biocol.org:col:15486","http://www.wnmu.edu/academic/nspages/gilacenter.shtml","","","",NA,NA,"","","","William R. Norris","Collection Manager","norrisw@wnmu.edu","Department of Natural Sciences, 1000 W. College Avenue<br />PO Box 680","Silver City","New Mexico","88061","Harlan Hall 141","Silver City","New Mexico","88061","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=127005","","",32.7823,-108.2817
"Brigham Young University, Monte L. Bean Life Science Museum, S.L. Welsh Herbarium","Vascular Plants","","","BRY<IH>","","urn:uuid:8e68e72c-c1d6-4705-8aa5-8e49fb7013ce","","http://mlbean.byu.edu/ResearchCollections/Collections/VascularPlants.aspx","http://lib.byu.edu/sites/scholarsarchive/life-sciences/s-l-welsh-herbarium-bry/","Hydrophyllaceae, Fabaceae, Polemoniaceae Western North America","",600000,NA,"Hydrophyllaceae, Fabaceae, Polemoniaceae","Western North America","600000","Leigh Johnson","Curator","leigh_johnson@byu.edu","645 E. 1430 N., Birgham Young University","Provo","Utah","84602","645 E. 1430 N., Birgham Young University","Provo","Utah","84602","urn:uuid:02849fea-49d2-417e-a5f2-ede719f78fdf","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124116","","",40.253,-111.6477
"University of Maine Herbarium","Algae","","","","","urn:uuid:8f1db751-b4a3-4727-ae3a-71e0bda335a8","","http://herbaria.umaine.edu/index.php?action=collections","http://herbaria.umaine.edu/index.php?action=algae","","",NA,NA,"","","","Christopher S. Campbell","Curator","campbell@maine.edu","School of Biology and Ecology, 261 Hitchner Hall","Orono","Maine","04469-5735","Hannibal Hamlin Hall.","Orono","Maine","04469-5735","urn:uuid:6deb519e-8492-4694-a705-b8055857c15f","","","","","","",44.806,-68.7919
"University of Nebraska Lincoln, University of Nebraska State Museum","Vertebrate Paleontology","","","","","urn:uuid:8f452d58-efe5-4979-8739-324a68f6f13d","","http://museum.unl.edu/research/vertpaleo/index.html","http://ris-2006d.unl.edu/VPSpecifyWeb/advanced.jsp","","",NA,NA,"","","","Ross Secord","Curator","rsecord2@unl.edu","W436 Nebraska Hall","Lincoln","Nebraska","68588-0514","W436 Nebraska Hall","Lincoln","Nebraska","68588-0514","urn:uuid:d791cb1e-ae22-4118-a0f6-a437bc7564ef","","","","","","",40.8643,-96.6819
"North Carolina State University Insect Museum","Insects","5975bbda-cd92-4084-8a09-ce1e28e6164f","{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""ncsu""}","NCSU","","urn:uuid:8fb49210-2017-4e0c-9d86-eecacfab1b0a","","http://insectmuseum.org","http://specimens.insectmuseum.org/public/specimen","","",NA,NA,"","","","Robert Blinn","Collection Manager","bob_blinn@ncsu.edu","Department of Entomology, NC State University, Box 7613","Raleigh","North Carolina","27695","Department of Entomology, NC State University, 4321 Gardner Hall","Raleigh","North Carolina","27695","","","","","","","",35.7884,-78.671
"Bruce Museum of Arts and Science","Mammalogy","","","","","urn:uuid:8fbc7653-c43c-44b4-a51c-a96457bd0b0c","","","","Taxidermy, skeletal","",NA,NA,"","","399","Daniel Sepka","","dksepka@brucemuseum.org","1 Museum Drive","Greenwich","Connecticut","06830-0000","1 Museum Drive","Greenwich","Connecticut","06830-0000","","","","","","","",41.0199,-73.6252
"Radford University, Museum","Herbarium, Invertebrates","","","RUHV<IH>","","urn:uuid:8ff4adab-46e6-42ff-8364-16e0eae366da","urn:lsid:biocol.org:col:13906","http://www.radford.edu/content/csat/home/biology/facilities/natural-history-collection.html","http://www.radford.edu/content/csat/home/biology/facilities/natural-history-collection.html","Herbarium, Invertebrates: Southwest Virginia and beyond","",25000,NA,"Herbarium, Invertebrates","Southwest Virginia and beyond","25000","Karen E. Powers","Curator","kpowers4@radford.edu","Biology Department, Box 6931","Radford","Virginia","24142","East Main St., 235 Curie Hall","Radford","Virginia","24142","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125752","","",37.1385,-80.5471
"Virginia Institute of Marine Science","Invertebrates","","","VIMS","","urn:uuid:8ff67f1a-83b8-4d0b-9334-81db356e2165","","","","","",NA,NA,"","","","Jennifer  Dreyer","Research Manager","jcdrey@vims.edu","1375 Greate Rd","Gloucester Point","Virginia","23062","1375 Greate Rd","Gloucester Point","Virginia","23062","urn:uuid:92fb6969-1b45-470d-8fa7-d644117793ad","","","","","","",37.2501,-76.5
"Emory University","Herbarium","042dbdba-a449-4291-8777-577a5a4045de","{""recordset"":""042dbdba-a449-4291-8777-577a5a4045de"",""collectioncode"":[""General Collection"","" Thorne Flora"","" Medical Botany"","" Granite Outcrop"","" Eyles Florae"","" Southern Appalachian Botanical Club""]}","GEO<IH>","General Collection, Thorne Flora, Medical Botany, Granite Outcrop, Eyles Florae, Southern Appalachian Botanical Club","urn:uuid:90607704-ff5c-4de5-af39-53a0146ff278","urn:lsid:biocol.org:col:15480","https://scholarblogs.emory.edu/emoryherbarium/","","Granite rock outcrop collection, medical botany collection SE USA, Italy, Balkans, Australia","",20000,NA,"Granite rock outcrop collection, medical botany collection","SE USA, Italy, Balkans, Australia","20000","Cassandra Quave","Curator","cquave@emory.edu","Biology Department, O. Wayne Rollins Research Center, 1510 Clifton Road NE","Atlanta","Georgia","30322","","Atlanta","Georgia","30322","urn:uuid:a11d8f2f-1415-4974-963b-07e01fd951db","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124475","","",33.7952,-84.3248
"New Mexico State University, Range Science Herbarium","Herbarium","","","NMCR<IH>","","urn:uuid:909a77c9-3c94-4e42-aa16-1dc85fddebb5","urn:lsid:biocol.org:col:14936","http://aces.nmsu.edu/herbarium/index.html","http://aces.nmsu.edu/herbarium/index.html","","",NA,TRUE,"","","","Dr. Sara Fuentes-Soriano","Curator","sfuensor@ad.nmsu.edu","Department of Animal and Range Sciences, Box 3-I, 202 Knox Hall","Las Cruces","New Mexico","88003","Espina Street, 340 Knox Hall.","Las Cruces","New Mexico","88003-0003","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125523","","",32.2669,-106.7497
